scope,mode,topic,mapped,module_count,input_mean_abs_shap,allocated_mean_abs_shap,conservation_error,seed
all,producer_only,vehicle_land_detected,True,2,0.0145447607696156,0.0145447607696156,0.0,1
all,consumer_only,estimator_status,True,1,1.1469367806871713,1.1469367806871713,0.0,1
all,consumer_only,vehicle_local_position,True,9,1.0319984160663445,1.0319984160663445,0.0,1
all,consumer_only,actuator_controls_0,True,4,0.9736719504552972,0.9736719504552972,0.0,1
all,consumer_only,manual_control_setpoint,True,9,0.9534098395951864,0.9534098395951864,0.0,1
all,consumer_only,actuator_outputs,False,0,0.6743407107956538,0.0,0.0,1
all,consumer_only,cpuload,True,2,0.5073883775219034,0.5073883775219034,0.0,1
all,consumer_only,ekf2_innovations,False,0,0.4818555211849826,0.0,0.0,1
all,consumer_only,vehicle_attitude,True,14,0.3675253730604466,0.3675253730604466,0.0,1
all,consumer_only,battery_status,True,10,0.3029691390544633,0.3029691390544633,0.0,1
all,consumer_only,vehicle_attitude_setpoint,True,4,0.2605094031816195,0.2605094031816195,0.0,1
all,consumer_only,sensor_combined,True,6,0.2480149719990116,0.2480149719990116,0.0,1
all,consumer_only,rate_ctrl_status,False,0,0.1540395165364888,0.0,0.0,1
all,consumer_only,sensor_preflight,True,1,0.1366802795577764,0.1366802795577764,0.0,1
all,consumer_only,vehicle_rates_setpoint,True,2,0.1071512263273234,0.1071512263273234,0.0,1
all,consumer_only,vehicle_vision_position,True,2,0.0986877361889372,0.0986877361889372,0.0,1
all,consumer_only,distance_sensor,True,2,0.0192141256597842,0.0192141256597842,0.0,1
all,consumer_only,vehicle_status,True,12,0.0169271942143041,0.0169271942143041,0.0,1
all,consumer_only,vehicle_land_detected,True,7,0.0145447607696156,0.0145447607696156,0.0,1
all,bidirectional,estimator_status,True,2,1.1469367806871713,1.1469367806871713,0.0,1
all,bidirectional,vehicle_local_position,True,11,1.0319984160663445,1.0319984160663445,0.0,1
all,bidirectional,actuator_controls_0,True,6,0.9736719504552972,0.9736719504552972,0.0,1
all,bidirectional,manual_control_setpoint,True,11,0.9534098395951864,0.9534098395951864,0.0,1
all,bidirectional,actuator_outputs,True,5,0.6743407107956538,0.6743407107956538,0.0,1
all,bidirectional,cpuload,True,3,0.5073883775219034,0.5073883775219034,0.0,1
all,bidirectional,ekf2_innovations,True,1,0.4818555211849826,0.4818555211849826,0.0,1
all,bidirectional,vehicle_attitude,True,17,0.3675253730604466,0.3675253730604466,0.0,1
all,bidirectional,battery_status,True,13,0.3029691390544633,0.3029691390544633,0.0,1
all,bidirectional,vehicle_attitude_setpoint,True,7,0.2605094031816195,0.2605094031816195,0.0,1
all,bidirectional,sensor_combined,True,7,0.2480149719990116,0.2480149719990116,0.0,1
all,bidirectional,rate_ctrl_status,True,2,0.1540395165364888,0.1540395165364888,0.0,1
all,bidirectional,sensor_preflight,True,2,0.1366802795577764,0.1366802795577764,0.0,1
all,bidirectional,vehicle_rates_setpoint,True,4,0.1071512263273234,0.1071512263273234,0.0,1
all,bidirectional,vehicle_vision_position,True,3,0.0986877361889372,0.0986877361889372,0.0,1
all,bidirectional,distance_sensor,True,5,0.0192141256597842,0.0192141256597842,0.0,1
all,bidirectional,vehicle_status,True,13,0.0169271942143041,0.0169271942143041,0.0,1
all,bidirectional,vehicle_land_detected,True,9,0.0145447607696156,0.0145447607696156,0.0,1
all,producer_only,estimator_status,True,1,0.9833621657757584,0.9833621657757584,0.0,2
all,producer_only,vehicle_local_position,True,2,0.9530750279092248,0.9530750279092248,0.0,2
all,producer_only,actuator_controls_0,True,2,0.8843436711414697,0.8843436711414697,0.0,2
all,producer_only,manual_control_setpoint,True,2,0.8748460047485298,0.8748460047485298,0.0,2
all,producer_only,actuator_outputs,True,5,0.5867325040320127,0.5867325040320127,0.0,2
all,producer_only,cpuload,True,1,0.4350866493207193,0.4350866493207193,0.0,2
all,producer_only,ekf2_innovations,True,1,0.4133392670430408,0.4133392670430408,0.0,2
all,producer_only,vehicle_attitude,True,3,0.2998361629310483,0.2998361629310483,0.0,2
all,producer_only,vehicle_attitude_setpoint,True,4,0.2548752410867181,0.2548752410867181,0.0,2
all,producer_only,battery_status,True,4,0.2540905419873018,0.2540905419873018,0.0,2
all,producer_only,sensor_combined,True,1,0.208217830868501,0.208217830868501,0.0,2
all,producer_only,rate_ctrl_status,True,2,0.1243506211917335,0.1243506211917335,0.0,2
all,producer_only,sensor_preflight,True,1,0.1123863039511341,0.1123863039511341,0.0,2
all,producer_only,vehicle_vision_position,True,1,0.0912609313681436,0.0912609313681436,0.0,2
all,producer_only,vehicle_rates_setpoint,True,2,0.0897257564499418,0.0897257564499418,0.0,2
all,producer_only,vehicle_status,True,1,0.0176836029666351,0.0176836029666351,0.0,2
all,producer_only,distance_sensor,True,4,0.0173706880232911,0.0173706880232911,0.0,2
all,producer_only,vehicle_land_detected,True,2,0.011745640486048,0.011745640486048,0.0,2
all,consumer_only,estimator_status,True,1,0.9833621657757584,0.9833621657757584,0.0,2
all,consumer_only,vehicle_local_position,True,9,0.9530750279092248,0.9530750279092248,0.0,2
all,consumer_only,actuator_controls_0,True,4,0.8843436711414697,0.8843436711414697,0.0,2
all,consumer_only,manual_control_setpoint,True,9,0.8748460047485298,0.8748460047485298,0.0,2
all,consumer_only,actuator_outputs,False,0,0.5867325040320127,0.0,0.0,2
all,consumer_only,cpuload,True,2,0.4350866493207193,0.4350866493207193,0.0,2
all,consumer_only,ekf2_innovations,False,0,0.4133392670430408,0.0,0.0,2
all,consumer_only,vehicle_attitude,True,14,0.2998361629310483,0.2998361629310483,0.0,2
all,consumer_only,vehicle_attitude_setpoint,True,4,0.2548752410867181,0.2548752410867181,0.0,2
all,consumer_only,battery_status,True,10,0.2540905419873018,0.2540905419873018,0.0,2
